Z13,Z19,MeanZ13,MeanZ19,OuterEdgeLengthZ13,OuterEdgeLengthZ19,SurfaceZ13,SurfaceZ19,VarianceZ13,VarianceZ19,Max_DeviationZ13,Max_DeviationZ19,Min_DeviationZ13,Min_DeviationZ19,Span_DeviationZ13,Span_DeviationZ19,Fi_liZ13,Fi_liZ19,Fi_reZ13,Fi_reZ19,fl_liZ13,fl_liZ19,fl_reZ13,fl_reZ19,fk_liZ13,fk_liZ19,fk_reZ13,fk_reZ19,fi_liZ13,fi_liZ19,fi_reZ13,fi_reZ19
80.0,56.0,2649.634217,1825.512604,0.033883685,9.3207779,5.1e-07,0.000123294,7754473496,2532849132,7.438392579,7.428217083,0.209101734,0.18753458,7.229290846,7.240682503,15.218429,10011.31877,10.613407,10016.2263,6.673568,17.18042,5.029476,18.66933,9.157003,10011.42626,6.184864,10016.2054,8.976784,10011.31877,6.726395,10016.2263
83.0,41.0,2649.62904,1825.512604,0.038659126,9.3207779,5.63e-07,0.000123294,7754473524,2532849132,7.438694475,7.428217083,0.209135475,0.18753458,7.229559,7.240682503,14.158121,10011.31877,10.920141,10016.2263,4.226424,17.18042,5.163717,18.66933,10.91616,10011.42626,6.593722,10016.2054,10.729658,10011.31877,6.245329,10016.2263
85.0,29.0,2649.618258,1825.517163,0.041146215,9.37596451,5.79e-07,0.000122651,7754473581,2532849115,7.438616654,7.428550576,0.209128013,0.18745326,7.229488641,7.241097316,14.709796,10000.15495,10.799155,10013.64498,5.156465,8.13002,5.569885,11.62515,11.670819,10004.22428,6.355328,10018.00954,11.649687,10000.15495,6.222944,10013.64498
88.0,2.0,2649.628961,1825.510637,0.039662049,9.34922148,5.6e-07,0.000122216,7754473524,2532849139,7.438682499,7.428601825,0.209116844,0.187546764,7.229565655,7.241055061,14.504398,10004.4631,12.135325,10003.21637,5.194189,14.37173,5.279325,11.44269,9.94129,10005.88451,7.046684,10004.12813,9.692412,10004.4631,6.296931,10003.21637
88.0,8.0,2649.628961,1825.515581,0.039662049,9.433061091,5.6e-07,0.000124258,7754473524,2532849121,7.438682499,7.428266901,0.209116844,0.187426524,7.229565655,7.240840377,14.504398,10008.16659,12.135325,10005.71314,5.194189,25.10623,5.279325,20.31448,9.94129,10010.95364,7.046684,10006.61017,9.692412,10008.16659,6.296931,10005.71314
88.0,23.0,2649.628961,1825.497835,0.039662049,9.283945457,5.6e-07,0.000120993,7754473524,2532849186,7.438682499,7.428517262,0.209116844,0.187425677,7.229565655,7.241091585,14.504398,10008.5291,12.135325,10008.32945,5.194189,15.22224,5.279325,12.4751,9.94129,10010.19717,7.046684,10011.55105,9.692412,10008.5291,6.296931,10008.32945
88.0,27.0,2649.628961,1825.497835,0.039662049,9.283945457,5.6e-07,0.000120993,7754473524,2532849186,7.438682499,7.428517262,0.209116844,0.187425677,7.229565655,7.241091585,14.504398,10008.5291,12.135325,10008.32945,5.194189,15.22224,5.279325,12.4751,9.94129,10010.19717,7.046684,10011.55105,9.692412,10008.5291,6.296931,10008.32945
88.0,29.0,2649.628961,1825.504931,0.039662049,9.38693728,5.6e-07,0.000122775,7754473524,2532849160,7.438682499,7.428527623,0.209116844,0.187485136,7.229565655,7.241042487,14.504398,10009.94881,12.135325,10007.19278,5.194189,13.93925,5.279325,10.73837,9.94129,10010.85498,7.046684,10008.42865,9.692412,10009.94881,6.296931,10007.19278
88.0,59.0,2649.628961,1825.504931,0.039662049,9.38693728,5.6e-07,0.000122775,7754473524,2532849160,7.438682499,7.428527623,0.209116844,0.187485136,7.229565655,7.241042487,14.504398,10009.94881,12.135325,10007.19278,5.194189,13.93925,5.279325,10.73837,9.94129,10010.85498,7.046684,10008.42865,9.692412,10009.94881,6.296931,10007.19278
88.0,62.0,2649.628961,1825.489993,0.039662049,9.185859051,5.6e-07,0.000119403,7754473524,2532849214,7.438682499,7.428782094,0.209116844,0.187425648,7.229565655,7.241356446,14.504398,10013.30531,12.135325,10012.69462,5.194189,9.77009,5.279325,12.73835,9.94129,10014.48391,7.046684,10015.30096,9.692412,10013.30531,6.296931,10012.69462
