Z13,Mean,Outer Edge Length,Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,Fi li,fl li,fk li,fi li,Fi re,fl re,fk re,fi re
60,2649.612515,0.042471365,5.89E-07,7754473611,7.438394685,0.209163263,7.229231422,18.525666,7.179644,13.05101,12.19132,10.425826,6.807669,4.941188,5.966173
61,2649.614265,0.046391207,7.04E-07,7754473602,7.438660426,0.209039505,7.229620921,16.148797,5.211439,13.145711,12.681388,9.247124,5.062751,4.87937,4.850465
62,2649.613773,0.036456915,5.32E-07,7754473604,7.438679121,0.209049007,7.229630114,17.096517,5.434246,12.044602,12.291945,11.050799,6.05884,5.518137,5.086905
63,2649.62543,0.043132213,6.21E-07,7754473543,7.438673888,0.208999175,7.229674713,14.800997,4.350812,11.856974,11.437094,10.6094,4.81884,6.064015,5.829123
64,2649.614134,0.033077542,4.62E-07,7754473602,7.438696315,0.209010823,7.229685492,16.454765,5.324477,11.715638,11.713092,9.316893,4.937315,5.359265,5.362607
65,2649.62072,0.033233888,4.74E-07,7754473568,7.438640826,0.2090155,7.229625326,14.571179,5.21032,10.96426,11.259309,9.895905,5.107535,5.714167,5.715998
66,2649.63415,0.035560929,5.27E-07,7754473497,7.438803766,0.209133971,7.229669795,14.839362,4.83151,11.069998,10.965473,11.980861,5.682908,6.732598,6.542334
67,2649.607591,0.043752762,6.37E-07,7754473637,7.438625414,0.209038033,7.229587381,17.696988,5.612289,12.530278,12.603644,11.533673,6.913384,5.054284,5.331195
68,2649.605835,0.03939204,5.56E-07,7754473646,7.438345594,0.209128589,7.229217005,14.715485,3.630967,12.358853,12.306929,7.287461,3.460916,5.562977,5.695488
69,2649.617817,0.043229441,6.09E-07,7754473583,7.438550447,0.20914241,7.229408036,14.918743,4.189054,11.957419,11.701297,7.876521,3.804788,5.075023,4.739584
70,2649.621772,0.043766094,6.51E-07,7754473562,7.438650291,0.20907319,7.229577101,15.841563,4.736524,12.087659,13.048965,11.121758,4.679499,6.66618,5.886149
71,2649.61023,0.046264594,6.59E-07,7754473623,7.438654245,0.209138148,7.229516097,17.848912,5.174898,12.752268,12.904922,11.112798,6.156195,5.5176,5.405183
72,2649.627809,0.045217261,6.68E-07,7754473530,7.438701755,0.209137694,7.229564061,17.168724,6.667843,12.838947,13.374293,11.072404,6.575528,5.071044,5.267146
73,2649.627283,0.041874933,6.19E-07,7754473533,7.438560961,0.209158913,7.229402047,17.095587,5.174024,12.640761,12.50539,9.774807,4.601877,5.268868,5.572553
74,2649.623291,0.043602553,6.55E-07,7754473554,7.43873029,0.209088641,7.229641649,17.013648,6.437908,12.073591,11.818332,11.147438,6.40042,5.830712,5.582653
75,2649.628808,0.032044615,4.71E-07,7754473525,7.438619486,0.209161235,7.229458251,15.727262,4.746243,11.570991,11.374629,11.194802,5.00775,6.43075,6.366528
76,2649.625108,0.037107066,5.23E-07,7754473544,7.438797612,0.20910873,7.229688882,15.338663,4.739422,11.257224,11.031186,9.796961,5.639063,6.214172,5.882841
77,2649.630607,0.038539244,5.71E-07,7754473515,7.438422645,0.209009118,7.229413527,13.422907,5.18624,9.456365,9.635379,11.08756,5.920662,6.085944,6.389562
78,2649.63236,0.042843019,6.31E-07,7754473506,7.438755978,0.20904737,7.229708608,33.252517,8.871367,26.792454,27.84687,12.403493,6.966954,6.253867,6.463198
79,2649.622593,0.035871083,5.16E-07,7754473558,7.438680859,0.209042877,7.229637982,14.322388,4.481743,10.266234,10.092892,8.865471,4.648588,5.61061,5.760209
80,2649.634217,0.033883685,5.10E-07,7754473496,7.438392579,0.209101734,7.229290846,15.218429,6.673568,9.157003,8.976784,10.613407,5.029476,6.184864,6.726395
81,2649.633085,0.030377824,4.61E-07,7754473502,7.438648471,0.20913589,7.22951258,13.47352,3.782068,9.733251,8.686257,8.616733,2.849667,7.067935,7.090009
82,2649.63937,0.036787772,5.50E-07,7754473469,7.438276387,0.209121562,7.229154825,11.057137,1.96244,9.687306,8.821401,7.772391,2.509816,5.888693,5.822985
83,2649.62904,0.038659126,5.63E-07,7754473524,7.438694475,0.209135475,7.229559,14.158121,4.226424,10.91616,10.729658,10.920141,5.163717,6.593722,6.245329
84,2649.631514,0.045599586,6.96E-07,7754473510,7.438696523,0.209163511,7.229533011,15.337993,6.430137,10.119171,9.58038,12.173818,6.154505,6.252346,6.795796
85,2649.618258,0.041146215,5.79E-07,7754473581,7.438616654,0.209128013,7.229488641,14.709796,5.156465,11.670819,11.649687,10.799155,5.569885,6.355328,6.222944
86,2649.627889,0.03494744,5.22E-07,7754473530,7.438744083,0.209133696,7.229610387,14.116449,5.494075,9.611128,9.791794,11.732587,5.816627,6.569815,5.675041
87,2649.630607,0.036855165,5.38E-07,7754473515,7.438612242,0.20911745,7.229494791,11.804795,3.830804,8.98482,9.644502,10.599546,4.826345,5.945549,6.033459
88,2649.628961,0.039662049,5.60E-07,7754473524,7.438682499,0.209116844,7.229565655,14.504398,5.194189,9.94129,9.692412,12.135325,5.279325,7.046684,6.296931
89,2649.629582,0.041548213,6.17E-07,7754473521,7.438324465,0.20903873,7.229285735,14.953845,5.584567,10.730835,10.757259,9.74084,4.182031,6.262976,6.089565
90,2649.628103,0.042736582,6.40E-07,7754473529,7.438767467,0.209040595,7.229726871,15.77489,6.124691,10.782202,11.460967,12.704752,7.189895,6.201838,6.633151
91,2649.629233,0.038711174,5.63E-07,7754473523,7.438700682,0.209053295,7.229647387,13.938034,4.394801,10.582852,10.788845,9.495849,4.76887,7.81495,7.321738
92,2649.638087,0.034369968,5.26E-07,7754473476,7.438646312,0.209055941,7.229590372,16.902069,7.30457,9.697839,9.644944,13.337193,7.210642,6.444949,6.494579
93,2649.629174,0.037044146,5.18E-07,7754473523,7.438336802,0.209023209,7.229313593,12.356161,3.022671,10.832818,10.124465,9.299294,3.049047,6.550799,6.071261
94,2649.630587,0.042781204,6.40E-07,7754473515,7.438745018,0.208988665,7.229756353,14.41103,4.628699,10.355689,9.755585,9.479182,4.660825,5.838602,5.866518
95,2649.625356,0.044193885,6.53E-07,7754473543,7.438413333,0.209015885,7.229397447,15.584809,5.488003,11.435065,10.882349,11.708553,6.687574,5.39686,5.908253
96,2649.62707,0.041493697,6.01E-07,7754473534,7.438547136,0.209123429,7.229423707,14.46622,4.93901,10.909613,10.45163,10.382064,4.876473,6.024012,6.183087
97,2649.633435,0.036510675,5.52E-07,7754473500,7.438740451,0.20903068,7.229709771,12.455335,4.190759,9.463255,10.336173,8.515681,2.964379,6.613017,6.740676
98,2649.631291,0.046077549,6.80E-07,7754473512,7.438616746,0.209130033,7.229486713,11.932379,3.80535,10.520404,9.672544,8.634703,3.541701,6.417397,6.576699
99,2649.634872,0.035387815,5.23E-07,7754473493,7.438621978,0.209023287,7.229598691,14.35171,5.332716,9.906125,9.897876,12.03587,5.899862,6.329678,6.514555
100,2649.630229,0.039236463,5.71E-07,7754473517,7.438619507,0.209138337,7.22948117,13.716523,4.264952,10.354718,10.123389,18.888187,6.424888,15.395133,16.028785
102,2649.649019,0.038858493,5.63E-07,7754473418,7.43863899,0.209138798,7.229500192,13.45087,4.511029,10.566606,9.626671,10.486267,3.088691,7.790107,7.520352
103,2649.648861,0.040916799,6.20E-07,7754473419,7.438710872,0.209014231,7.229696641,13.904607,4.273471,12.09091,11.440658,12.925283,5.655106,8.140755,8.102933
104,2649.646358,0.035610741,5.11E-07,7754473432,7.438540166,0.209017689,7.229522477,16.494513,5.800487,12.827388,10.485357,12.413365,5.821901,7.055637,7.600431
105,2649.656937,0.038289902,5.40E-07,7754473376,7.438836414,0.209247074,7.22958934,10.045813,3.412791,10.717878,9.871559,11.28849,3.974455,7.86164,7.697785
106,2649.638361,0.048712791,7.33E-07,7754473474,7.438654632,0.209014971,7.229639661,12.613815,4.241099,12.975952,12.498434,9.743917,3.390013,7.258263,7.527844
107,2649.654044,0.042343713,6.35E-07,7754473391,7.438744638,0.209047859,7.229696779,14.930097,3.293236,15.189989,14.911613,9.692576,3.525969,7.667581,7.574864
108,2649.674379,0.035334049,4.81E-07,7754473284,7.438441172,0.209122482,7.22931869,9.017202,1.869463,7.839969,7.676801,8.254393,1.712047,7.119574,6.950981
109,2649.639905,0.051942098,7.77E-07,7754473466,7.438724853,0.209010263,7.22971459,12.416836,5.338022,10.280373,10.31667,12.571495,5.340511,7.585411,7.479354
110,2649.644876,0.042773739,6.29E-07,7754473440,7.438340227,0.209087148,7.229253079,29.589928,6.646541,25.145469,24.375468,18.669525,3.883345,15.493611,15.033329
111,2649.64649,0.039703106,5.97E-07,7754473431,7.438626689,0.209074514,7.229552175,13.322447,5.057773,9.122492,8.937973,12.153953,3.977277,8.661599,8.288242
112,2649.650134,0.037108496,5.62E-07,7754473412,7.438449026,0.209103917,7.229345109,13.194816,6.509848,10.993838,10.63056,15.324366,6.749138,8.879842,8.853488
113,2649.649406,0.043810626,6.20E-07,7754473416,7.438585364,0.209027993,7.229557372,19.836323,4.625728,17.516906,11.749013,10.697236,4.944173,7.067995,7.434709
114,2649.660965,0.040549414,5.77E-07,7754473355,7.438769421,0.209009638,7.229759783,11.06358,4.164259,12.645801,10.317594,11.758421,4.191012,8.136946,8.051266
115,2649.649811,0.044319816,6.37E-07,7754473414,7.438691615,0.209114256,7.229577359,12.925083,5.75264,9.123441,8.732399,11.838864,5.211987,6.992324,6.929521
116,2649.649915,0.040818159,5.82E-07,7754473413,7.438634454,0.209053742,7.229580712,15.352077,4.44757,11.313178,9.825809,11.876351,4.407481,8.295385,8.73368
117,2649.644852,0.046567567,6.81E-07,7754473440,7.438765476,0.209045928,7.229719548,11.117737,4.615263,8.887784,8.09037,12.062632,5.552564,7.661358,7.530241
118,2649.655812,0.048799684,7.16E-07,7754473382,7.438781958,0.209147454,7.229634504,12.247681,4.958432,8.36351,7.769407,12.609388,4.612146,8.314743,7.957105
119,2649.648514,0.036787244,5.42E-07,7754473420,7.438678772,0.209013065,7.229665707,22.228082,2.348292,22.923765,22.221047,9.677723,3.419513,7.508111,7.825658
120,2649.648763,0.04922787,7.21E-07,7754473419,7.438654091,0.209088602,7.22956549,20.412452,4.488584,20.997951,20.412452,437.413842,65.600934,431.951917,431.877529
121,2649.647272,0.04329485,6.22E-07,7754473427,7.438661607,0.209097915,7.229563692,13.732865,6.544611,11.349548,12.242865,15.190586,7.136844,8.771689,8.665872
122,2649.649222,0.043431319,6.49E-07,7754473417,7.438345498,0.209087473,7.229258025,17.037087,4.960866,14.070486,12.387623,12.522935,5.429299,7.975405,7.799806
123,2649.644393,0.039296299,5.75E-07,7754473442,7.438662494,0.209009638,7.229652856,16.715105,3.627685,16.989303,16.715105,10.35929,3.704686,8.048772,7.392714
124,2649.649788,0.042264842,6.15E-07,7754473414,7.438631536,0.20904382,7.229587716,11.74481,5.883553,7.774679,7.621842,12.035012,4.83766,9.091294,9.518141
125,2649.649647,0.036862447,5.28E-07,7754473414,7.43849236,0.208999079,7.229493281,29.545274,7.142546,23.612307,20.642037,13.674587,5.688123,8.648301,8.373596
126,2649.647308,0.043187272,6.15E-07,7754473427,7.438684462,0.209017161,7.2296673,13.051229,3.758544,9.88686,9.172451,12.095602,5.120933,7.638762,7.226498
127,2649.637784,0.03843274,5.83E-07,7754473477,7.438642716,0.208997995,7.229644721,10.269629,3.060954,9.865557,9.668917,10.259159,2.945298,8.431233,7.572772
128,2649.637965,0.047982581,7.07E-07,7754473476,7.438421642,0.209009638,7.229412004,16.978383,6.25824,14.338869,13.89319,10.399411,4.277397,7.160224,7.371871
129,2649.645825,0.051663981,7.85E-07,7754473435,7.438824408,0.209051991,7.229772417,22.47734,7.130688,19.000001,17.978832,17.012156,7.113101,13.615645,15.056166
130,2649.659148,0.040883531,5.86E-07,7754473364,7.438684876,0.20902636,7.229658516,12.200605,5.056,8.132757,8.362634,13.259497,5.338915,8.598151,8.781116
131,2649.657135,0.041749689,6.05E-07,7754473375,7.438758145,0.209097433,7.229660712,13.556812,5.735658,9.202299,8.868411,13.162863,4.895403,8.747465,8.690404
132,2649.641292,0.041588436,5.95E-07,7754473459,7.438363039,0.209017979,7.229345061,13.105461,3.598048,11.069515,10.501866,9.972859,2.976886,7.075746,7.07455
133,2649.637582,0.043125895,6.19E-07,7754473478,7.438624453,0.209099065,7.229525388,23.597567,3.855561,22.757763,17.564709,12.370574,5.610659,8.662515,8.053357
134,2649.644898,0.040544558,5.91E-07,7754473440,7.438689051,0.20906282,7.229626231,16.390718,5.926603,20.247195,13.759421,12.739444,5.566661,8.842371,8.636608
135,2649.641797,0.041939285,6.20E-07,7754473456,7.438794684,0.209124059,7.229670626,11.905878,3.891055,10.399997,10.642746,10.731458,4.388111,7.666514,7.557794
136,2649.656276,0.036589437,5.10E-07,7754473379,7.438631557,0.209149604,7.229481953,31.508788,5.102498,27.130349,22.156914,12.571569,5.297851,8.00768,8.59514
137,2649.642707,0.05287859,7.77E-07,7754473451,7.438779685,0.209102368,7.229677317,13.766778,4.393233,12.736295,12.347471,12.519506,5.966985,7.244482,7.755747
138,2649.640531,0.041691347,5.99E-07,7754473463,7.438697488,0.209236439,7.229461049,25.101636,6.757671,23.249858,23.949816,12.72323,5.319619,10.265915,10.286673
139,2649.648465,0.031718181,4.59E-07,7754473421,7.43864476,0.209079362,7.229565398,10.693055,3.947287,10.909664,9.153683,11.402426,3.43033,8.132983,7.960257
140,2649.643031,0.048506095,7.23E-07,7754473450,7.438603342,0.209043433,7.229559908,12.770057,4.962925,10.288825,9.777237,10.887361,4.683125,7.317897,7.226025
141,2649.64741,0.043525842,6.18E-07,7754473426,7.438696022,0.209142834,7.229553188,19.562719,4.830208,15.51364,12.752636,13.597205,5.327679,13.37735,12.226376
142,2649.640805,0.052270242,7.72E-07,7754473461,7.438686017,0.209094625,7.229591392,12.409166,4.473126,12.246333,12.262164,10.914573,5.554913,6.507681,7.314494
143,2649.647609,0.038561918,5.40E-07,7754473425,7.438288627,0.209117233,7.229171394,15.20824,3.888816,16.388743,11.8508,11.643527,3.614253,8.810261,7.606302
144,2649.657156,0.039962885,5.84E-07,7754473375,7.438661741,0.209114844,7.229546897,23.968564,6.157579,23.483688,20.218353,12.094518,5.72015,7.836082,8.208597
145,2649.642547,0.04269375,6.56E-07,7754473452,7.438608114,0.209111173,7.229496941,10.04932,4.634853,9.960007,8.333539,11.137975,5.078959,6.722607,6.373526
146,2649.642937,0.045492656,6.49E-07,7754473450,7.438671571,0.209037884,7.229633688,52.764155,7.026355,51.128333,51.099944,14.055487,6.922232,8.013795,7.862697
147,2649.642791,0.04249153,6.18E-07,7754473451,7.438659117,0.209083428,7.229575689,13.108409,5.138276,10.631844,11.508443,11.592719,3.78962,9.24899,8.457031
148,2649.643855,0.045864908,6.81E-07,7754473445,7.438460687,0.209124745,7.229335942,14.170442,6.70588,10.476336,10.754174,13.398329,6.900345,8.490996,7.9673
149,2649.640589,0.047961167,6.94E-07,7754473462,7.438685072,0.209079084,7.229605988,17.657686,3.867762,14.624792,14.358274,8.734843,3.8546,6.89937,7.255177
150,2649.648458,0.046431432,7.02E-07,7754473421,7.438382667,0.209070389,7.229312278,18.504171,5.482371,16.473157,12.456317,14.378573,5.833754,9.245393,8.714499
151,2649.643709,0.036559201,5.31E-07,7754473446,7.438351379,0.20902785,7.22932353,15.966591,6.026858,12.089587,12.236356,12.936954,5.458575,7.931442,7.419769
152,2649.632648,0.032585735,4.56E-07,7754473504,7.43887501,0.209003483,7.229871527,20.84706,5.304596,17.253751,16.668977,11.055401,4.626094,6.870861,7.104009
153,2649.65349,0.023049447,3.19E-07,7754473394,7.438607801,0.209046173,7.229561628,18.773705,3.58304,16.203211,16.517687,10.613543,4.061872,7.199955,7.521671
154,2649.650213,0.031111875,4.22E-07,7754473411,7.438587487,0.209130404,7.229457083,20.712819,5.083527,16.831359,16.723873,12.378825,5.519441,7.862035,8.17867
155,2649.643546,0.033760484,4.84E-07,7754473447,7.438294693,0.209035484,7.229259209,38.224471,6.041286,36.337637,37.049341,13.476088,6.570878,7.819903,7.531135
156,2649.649714,0.0263832,3.72E-07,7754473414,7.4386932,0.209119386,7.229573815,21.055048,5.217504,17.162874,17.484483,11.797393,4.655735,7.72314,7.422192
157,2649.644991,0.020511701,2.72E-07,7754473439,7.438688681,0.209166434,7.229522247,21.54005,5.612531,17.446802,17.889388,15.024697,4.475754,14.918311,15.024697
158,2649.643543,0.033235779,4.59E-07,7754473447,7.438433886,0.209129152,7.229304734,20.320918,4.064615,16.547591,16.665441,10.962874,4.604165,7.735271,7.803417
159,2649.646767,0.039693374,5.38E-07,7754473430,7.4387056,0.209139141,7.229566459,21.148991,4.505322,17.384167,17.14971,13.767344,6.301294,8.694352,8.588349
160,2649.646772,0.035793602,4.97E-07,7754473430,7.438650743,0.208989139,7.229661604,21.919643,6.274331,17.148066,16.543477,12.965798,5.891705,7.655439,7.378339
161,2649.647448,0.027010436,3.86E-07,7754473426,7.438376944,0.209012808,7.229364136,22.223953,6.206483,16.49558,16.422124,11.466589,4.563479,7.643082,7.579262
162,2649.663657,0.025187642,3.35E-07,7754473340,7.438760443,0.209106022,7.229654422,18.184792,3.296541,15.873366,16.023358,10.501822,3.067706,7.752981,7.17644
163,2649.643434,0.034566706,4.62E-07,7754473447,7.438757193,0.208985623,7.22977157,19.532569,3.261879,17.201135,17.181294,11.188444,3.853141,7.686158,7.373887
164,2649.660758,0.022582445,2.98E-07,7754473356,7.43861766,0.209068662,7.229548998,20.264102,5.928289,16.276206,16.21757,12.815112,6.045005,7.235156,7.627247
